home_planet,cryo_sleep,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,transported,passenger_group,passenger_num,cabin_deck,cabin_num,cabin_side,total_bill,cabin_update
Earth,FALSE,TRAPPIST-1e,26.0,FALSE,0.0,2811.0,957.0,0.0,87.0,TRUE,0098,02,G,11,P,3855.0,G/11/P
Earth,FALSE,PSO J318.5-22,23.0,FALSE,311.0,427.0,526.0,37.0,0.0,FALSE,0099,01,F,19,P,1301.0,F/19/P
Earth,TRUE,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0099,02,G,12,P,0.0,G/12/P
Mars,TRUE,TRAPPIST-1e,31.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0101,01,F,25,S,0.0,F/25/S
Earth,FALSE,TRAPPIST-1e,18.0,FALSE,0.0,0.0,0.0,830.0,91.0,FALSE,0102,01,F,23,S,921.0,F/23/S
Earth,FALSE,TRAPPIST-1e,24.0,FALSE,0.0,1267.4562356800398,0.0,0.0,17.0,TRUE,0103,01,F,24,S,1317.784050680436,F/24/S
Earth,TRUE,55 Cancri e,9.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0103,02,G,18,S,0.0,G/18/S
Earth,TRUE,TRAPPIST-1e,6.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0103,03,G,18,S,0.0,G/18/S
Earth,FALSE,TRAPPIST-1e,27.0,FALSE,0.0,0.0,570.0,2.0,131.0,FALSE,0105,01,F,21,P,703.0,F/21/P
Mars,FALSE,TRAPPIST-1e,21.0,FALSE,1743.0,5.0,17.0,0.0,0.0,FALSE,0107,01,D,2,S,1765.0,D/2/S
Earth,TRUE,TRAPPIST-1e,23.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0108,01,G,19,S,0.0,G/19/S
Earth,FALSE,TRAPPIST-1e,31.0,FALSE,562.0,0.0,326.0,0.0,0.0,FALSE,0108,02,G,19,S,888.0,G/19/S
Earth,FALSE,TRAPPIST-1e,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0108,03,G,19,S,0.0,G/19/S
Europa,FALSE,TRAPPIST-1e,32.0,FALSE,0.0,410.0,6.0,3929.0,764.0,FALSE,0110,01,B,44,P,5109.0,B/44/P
Europa,FALSE,TRAPPIST-1e,40.0,FALSE,0.0,331.0,0.0,0.0,1687.0,FALSE,0110,02,B,5,P,2018.0,B/5/P
Europa,FALSE,TRAPPIST-1e,42.0,FALSE,2209.0,11418.0,0.0,1868.0,445.0,TRUE,0110,03,B,5,P,15940.0,B/5/P
Europa,TRUE,TRAPPIST-1e,28.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0110,04,B,5,P,0.0,B/5/P
Europa,TRUE,TRAPPIST-1e,29.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0111,01,E,6,S,0.0,E/6/S
Europa,FALSE,55 Cancri e,48.0,TRUE,0.0,2537.0,87.0,17.0,13.0,TRUE,0112,01,B,1,S,2654.0,B/1/S
Earth,FALSE,TRAPPIST-1e,64.0,FALSE,0.0,0.0,804.0,0.0,0.0,TRUE,0113,01,F,23,P,804.0,F/23/P
Earth,FALSE,TRAPPIST-1e,27.0,FALSE,82.0,157.0,429.0,238.0,1.0,FALSE,0114,01,G,20,S,907.0,G/20/S
Mars,FALSE,TRAPPIST-1e,26.0,FALSE,0.0,0.0,0.0,0.0,1407.866562541647,TRUE,0115,01,F,24,P,1394.8562023652944,F/24/P
Europa,FALSE,TRAPPIST-1e,33.0,FALSE,1.0,2223.0,0.0,12.0,404.0,TRUE,0116,01,D,4,P,2640.0,D/4/P
Europa,FALSE,TRAPPIST-1e,39.0,FALSE,0.0,2344.0,0.0,65.0,6898.0,FALSE,0119,01,A,0,P,9307.0,A/0/P
Europa,TRUE,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0119,02,A,0,P,0.0,A/0/P
Mars,TRUE,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0120,01,F,25,P,0.0,F/25/P
Earth,FALSE,TRAPPIST-1e,29.0,FALSE,0.0,0.0,0.0,699.0,74.0,FALSE,0122,01,G,21,S,773.0,G/21/S
Earth,FALSE,TRAPPIST-1e,18.0,FALSE,55.0,597.0,49.0,0.0,1.0,FALSE,0123,01,F,27,P,702.0,F/27/P
Mars,TRUE,TRAPPIST-1e,67.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0126,01,F,27,S,0.0,F/27/S
Mars,FALSE,TRAPPIST-1e,35.0,FALSE,701.0,0.0,296.0,0.0,25.0,FALSE,0127,01,E,7,S,1022.0,E/7/S
Mars,FALSE,TRAPPIST-1e,61.0,TRUE,2353.0,334.0,9.0,316.0,2.0,FALSE,0128,01,D,3,S,3014.0,D/3/S
Mars,FALSE,TRAPPIST-1e,45.0,FALSE,2103.0,6.0,0.0,0.0,0.0,FALSE,0128,02,E,8,S,2109.0,E/8/S
Earth,TRUE,PSO J318.5-22,22.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0129,01,G,22,S,0.0,G/22/S
Mars,TRUE,TRAPPIST-1e,19.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0133,01,F,29,S,0.0,F/29/S
Mars,FALSE,TRAPPIST-1e,36.0,FALSE,2738.0,0.0,0.0,0.0,0.0,FALSE,0133,02,D,5,S,2738.0,D/5/S
Earth,FALSE,TRAPPIST-1e,19.0,FALSE,0.0,14.0,730.0,0.0,0.0,TRUE,0134,01,G,17,P,744.0,G/17/P
Earth,FALSE,PSO J318.5-22,47.0,FALSE,97.0,418.0,126.0,25.0,55.0,FALSE,0136,01,G,23,S,721.0,G/23/S
Earth,TRUE,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0138,01,G,18,P,0.0,G/18/P
Earth,FALSE,TRAPPIST-1e,34.0,FALSE,0.0,22.0,0.0,564.0,207.0,FALSE,0138,02,E,5,P,793.0,E/5/P
Europa,TRUE,55 Cancri e,35.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0139,01,C,6,S,0.0,C/6/S
Earth,TRUE,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0140,01,G,19,P,0.0,G/19/P
Earth,FALSE,TRAPPIST-1e,26.0,FALSE,440.0,0.0,0.0,0.0,462.0,FALSE,0140,02,F,29,P,902.0,F/29/P
Mars,FALSE,TRAPPIST-1e,31.0,FALSE,1363.818042768302,0.0,97.0,0.0,0.0,FALSE,0141,01,F,30,P,1446.9559816492451,F/30/P
Earth,FALSE,TRAPPIST-1e,20.0,FALSE,0.0,420.0,210.0,0.0,0.0,TRUE,0144,01,F,31,S,630.0,F/31/S
Earth,FALSE,TRAPPIST-1e,56.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0146,01,G,25,S,0.0,G/25/S
Earth,TRUE,TRAPPIST-1e,50.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0147,01,G,26,S,0.0,G/26/S
Mars,FALSE,TRAPPIST-1e,42.0,FALSE,1072.0,0.0,10.0,0.0,76.0,FALSE,0148,01,F,31,P,1158.0,F/31/P
Earth,TRUE,55 Cancri e,23.12634285009187,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0149,01,G,27,S,0.0,G/27/S
Earth,TRUE,55 Cancri e,38.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0151,01,G,20,P,0.0,G/20/P
Earth,FALSE,TRAPPIST-1e,41.0,FALSE,0.0,0.0,0.0,0.0,607.0,FALSE,0152,01,F,32,P,607.0,F/32/P
Earth,FALSE,TRAPPIST-1e,22.0,FALSE,4119.0,0.0,0.0,0.0,61.0,FALSE,0160,01,G,22,P,4180.0,G/22/P
Europa,TRUE,TRAPPIST-1e,26.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0163,01,B,8,P,0.0,B/8/P
Europa,TRUE,TRAPPIST-1e,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0163,02,B,8,P,0.0,B/8/P
Earth,FALSE,TRAPPIST-1e,57.0,FALSE,50.0,1688.0,0.0,0.0,135.0,TRUE,0164,01,G,28,S,1523.130830604144,G/28/S
Earth,TRUE,PSO J318.5-22,17.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0164,02,G,28,S,0.0,G/28/S
Mars,TRUE,TRAPPIST-1e,35.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0165,01,F,37,P,0.0,F/37/P
Mars,TRUE,TRAPPIST-1e,13.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0167,01,F,35,S,0.0,F/35/S
Mars,FALSE,TRAPPIST-1e,27.0,FALSE,1365.0,0.0,48.0,22.0,137.0,FALSE,0167,02,F,35,S,1572.0,F/35/S
Earth,TRUE,TRAPPIST-1e,31.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0169,01,G,23,P,0.0,G/23/P
Earth,FALSE,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,221.0,567.0,FALSE,0170,01,E,10,S,788.0,E/10/S
Earth,TRUE,PSO J318.5-22,19.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0171,01,G,30,S,0.0,G/30/S
Earth,TRUE,TRAPPIST-1e,32.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0172,01,G,24,P,0.0,G/24/P
Earth,FALSE,TRAPPIST-1e,58.0,FALSE,0.0,985.0,0.0,5.0,0.0,TRUE,0173,01,E,11,S,990.0,E/11/S
Earth,FALSE,55 Cancri e,21.0,FALSE,287.0,0.0,16.0,115.0,175.0,FALSE,0174,01,F,38,P,593.0,F/38/P
Europa,FALSE,TRAPPIST-1e,38.0,FALSE,0.0,10346.0,1.0,14970.0,2111.0,FALSE,0177,01,B,2,S,27428.0,B/2/S
Mars,FALSE,TRAPPIST-1e,38.0,FALSE,3414.0,0.0,161.0,28.0,119.0,FALSE,0178,01,D,6,S,3722.0,D/6/S
Earth,FALSE,TRAPPIST-1e,19.0,FALSE,1.0,219.0,673.0,2.0,11.0,TRUE,0179,01,G,26,P,906.0,G/26/P
Earth,FALSE,TRAPPIST-1e,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0179,02,G,26,P,0.0,G/26/P
Earth,FALSE,TRAPPIST-1e,3.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0179,03,G,26,P,0.0,G/26/P
Earth,FALSE,TRAPPIST-1e,20.0,FALSE,0.0,0.0,3.0,299.0,92.0,FALSE,0181,01,G,27,P,394.0,G/27/P
Europa,TRUE,TRAPPIST-1e,24.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0182,01,C,3,P,0.0,C/3/P
Earth,FALSE,TRAPPIST-1e,37.0,FALSE,17.0,146.0,426.0,0.0,232.0,TRUE,0183,01,F,36,S,821.0,F/36/S
Earth,FALSE,TRAPPIST-1e,25.0,FALSE,62.0,0.0,0.0,0.0,956.0,FALSE,0186,01,G,28,P,1018.0,G/28/P
Earth,TRUE,TRAPPIST-1e,56.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0188,01,G,31,S,0.0,G/31/S
Earth,FALSE,55 Cancri e,49.0,FALSE,84.0,3.0,401.0,202.0,98.0,FALSE,0189,01,E,8,P,788.0,E/8/P
Earth,TRUE,55 Cancri e,11.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0190,01,G,32,S,0.0,G/32/S
Earth,TRUE,TRAPPIST-1e,1.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0192,01,G,29,P,0.0,G/29/P
Earth,FALSE,TRAPPIST-1e,8.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0192,02,G,29,P,0.0,G/29/P
Earth,FALSE,TRAPPIST-1e,39.0,FALSE,0.0,0.0,10.0,898.0,0.0,FALSE,0192,03,G,29,P,908.0,G/29/P
Mars,TRUE,TRAPPIST-1e,2.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0193,01,F,41,P,0.0,F/41/P
Mars,FALSE,TRAPPIST-1e,23.0,FALSE,262.22629791368445,0.0,8.0,1072.0,0.0,FALSE,0193,02,F,41,P,1319.5346186806466,F/41/P
Mars,FALSE,TRAPPIST-1e,0.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0193,03,F,41,P,0.0,F/41/P
Mars,FALSE,TRAPPIST-1e,39.0,FALSE,406.0,0.0,867.0,0.0,0.0,TRUE,0195,01,F,42,P,1273.0,F/42/P
Mars,FALSE,PSO J318.5-22,25.0,FALSE,1052.0,0.0,719.0,0.0,7.0,FALSE,0196,01,D,5,P,1778.0,D/5/P
Europa,FALSE,TRAPPIST-1e,36.0,FALSE,0.0,972.0,0.0,795.0,575.0,FALSE,0197,01,C,5,P,2342.0,C/5/P
Earth,TRUE,PSO J318.5-22,52.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0198,01,G,30,P,0.0,G/30/P
Earth,TRUE,TRAPPIST-1e,18.0,FALSE,0.0,0.0,0.0,0.0,0.0,FALSE,0199,01,G,33,S,0.0,G/33/S
Earth,TRUE,TRAPPIST-1e,15.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0200,01,G,31,P,0.0,G/31/P
Europa,TRUE,TRAPPIST-1e,35.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0201,01,B,3,S,0.0,B/3/S
Europa,TRUE,TRAPPIST-1e,47.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0201,02,B,3,S,0.0,B/3/S
Europa,TRUE,55 Cancri e,45.0,FALSE,0.0,0.0,0.0,0.0,0.0,TRUE,0202,01,B,9,P,0.0,B/9/P
Europa,FALSE,55 Cancri e,33.939410860751096,FALSE,0.0,2433.0,0.0,878.0,443.0,TRUE,0202,02,A,2,P,2503.1278858544547,A/2/P
